年份,领域大类,tag,标题,作者,论文链接,项目链接
2021,系统安全与隐私,,Confidential Computing for OpenPOWER,"Guerney D. H. Hunt, IBM Research, United States of America; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456243,https://github.com/mvle/eurosys2021_PEF_OpenPOWER
2021,数据中心系统,,OFC: an opportunistic caching system for FaaS platforms,"Djob Mvondo, University Grenoble Alpes, France; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456239,https://gitlab.com/lenapster/faascache/-/tree/master/artifactEvaluation
2021,机器学习系统,,DGCL: An Efficient Communication Library for Distributed GNN Training,"Zhenkun Cai, The Chinese University of Hong Kong; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456233,https://github.com/czkkkkkk/gccl
2021,机器学习系统,,Accelerating Graph Sampling for Graph Machine Learning using GPUs,"Abhinav Jangda, University of Massachusetts Amherst, United States of America; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456244,https://github.com/plasma-umass/NextDoor
2021,机器学习系统,,Tahoe: Tree Structure-Aware High Performance Inference Engine for Decision Tree Ensemble on GPU,"Zhen Xie, University of California, Merced; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456251,https://github.com/zhen-xie/Tahoe
2021,机器学习系统,,Seastar: Vertex-Centric Programming for Graph Neural Networks,"Yidi Wu, The Chinese University of Hong Kong; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456247,https://zenodo.org/record/4988602
2021,软件测试,,Understanding and Dealing with Hard Faults in Persistent Memory Systems,"Brian Choi, Johns Hopkins University, United States of America; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456252,https://github.com/OrderLab/Arthas/blob/master/artifactREADME.md
2021,软件测试,,"Home, SafeHome: Smart Home Reliability with Visibility and Atomicity","Shegufta Bakht Ahsan, Amazon, United States of America; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456261,https://github.com/Shegufta/SafeHomeFramework
2021,软件测试,,TraceSplitter: A New Paradigm for Downscaling Traces,"Sultan Mahmud Sajal, The Pennsylvania State University, United States of America; et al.",https://dl.acm.org/doi/10.1145/3447786.3456262,https://github.com/smsajal/TraceSplitter
2021,软件测试,,Finding Heterogeneous-Unsafe Configuration Parameters in Cloud Systems,"Sixiang Ma, The Ohio State University, United States of America; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456250,https://github.com/StarThinking/ZebraConf
2021,并行与分布式系统,,Zeus: Locality-aware Distributed Transactions,"Antonios Katsarakis, University of Edinburgh, United Kingdom; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456234,https://github.com/ease-lab/Zeus
2021,移动与嵌入式系统,,Achieving Low Tail-latency and High Scalability for Serializable Transactions in Edge Computing,"Xusheng Chen, University of Hong Kong, China; et al.",https://dl.acm.org/doi/abs/10.1145/3447786.3456238,https://github.com/hku-systems/dast
2020,数据中心系统,,Improving Resource Utilization by Timely Fine-Grained Scheduling,"Tatiana Jin, The Chinese University of Hong Kong; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387551,https://www.icloud.com.cn/iclouddrive/028sAnhdMPgZGC30XBYOz5l3w#ted-1
2020,程序语言与编译器,,BinRec: Dynamic Binary Lifting and Recompilation,"Anil Altinay, University of California, Irvine; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387550,https://github.com/keystone-enclave/keystone
2020,并行与分布式系统,,Avoiding Scheduler Subversion using Scheduler-Cooperative Locks,"Yuvraj Patel, University of Wisconsin-Madison; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387521,https://github.com/hckuo/Lupine-Linux
2020,大数据系统,,Subway: Minimizing Data Transfer during Out-of-GPU-Memory Graph Processing,"Amir Hossein Nodehi Sabet, University of California, Riverside; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387537,https://github.com/clusterfarmem/fastswap
2020,大数据系统,,Peregrine: A Pattern-Aware Graph Mining System,"Kasra Jamshidi, Simon Fraser University; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387548,https://github.com/hydro-project/hydro-project.github.io
2020,移动与嵌入式系统,,Experiences of Landing Machine Learning onto Market-Scale Mobile Malware Detection,"Liangyi Gong, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387530,https://github.com/mpastyl/DelegationSketch
2020,网络系统,,Env2Vec: Accelerating VNF Testing with Deep Learning,"Guangyuan Piao, Nokia Bell Labs; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387525,https://github.com/usi-systems/freud
2020,网络系统,,Kollaps: Decentralized and Dynamic Topology Emulation,"Paulo Gouveia, U. Lisboa & INESC-ID; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387540,https://github.com/epfl-dcsl/hovercraft
2020,网络系统,,StRoM: Smart Remote Memory,"David Sidler, Microsoft, USA & ETH Zurich; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387519,https://github.com/lenhattan86/allox
2020,操作系统,,A Linux in Unikernel Clothing,"Hsuan-Chi Kuo, University of Illinois at Urbana-Champaign; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387526,https://github.com/pdclab/peregrine
2020,操作系统,,Don’t shoot down TLB shootdowns!,"Nadav Amit, VMware Research Group; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387518,https://github.com/rcx-sync
2020,文件和存储系统,,AniFilter: Parallel and Failure-Atomic Cuckoo Filter for Non-Volatile Memories,"Hyungjun Oh, Hanyang University; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387528,https://github.com/miguelammatos/Kollaps
