年份,领域大类,修正版关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2021,"并行与分布式系统,数据库系统","图计算,查询执行,缓存系统",Cache-Efficient Fork-Processing Patterns on Large Graphs,"Shengliang Lu, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457253,https://github.com/Xtra-Computing/ForkGraph
2021,"大数据系统,并行与分布式系统",图计算,"LightNE: A Lightweight Graph Processing System for Network
Embedding","Jiezhong Qiu, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457329,https://github.com/xptree/LightNE
2021,"大数据系统,并行与分布式系统",图计算,Hybrid Edge Partitioner,"Ruben Mayer, Technical University of Munich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457300,https://github.com/mayerrn/hybrid_edge_partitioner
2021,数据库系统,"流处理,调度策略",Klink: Progress-Aware Scheduling for Streaming Data Systems,"Omar Farhat, University of Waterloo; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452794,https://github.com/klink-scheduler/klink
2021,数据库系统,"SQL优化,内存数据库","To Partition, or Not to Partition,
That is the Join Question in a Real System","Maximilian Bandle, Technische Universität München; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452831,https://github.com/opcm/pcm
2021,"大数据系统,并行与分布式系统",数据预取,MxTasks: How to Make Efficient Synchronization and Prefetching Easy,"Jan Mühlig, TU Dortmund University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457268,https://github.com/jmuehlig/mxtasking
2021,"大数据系统,并行与分布式系统",流处理,DFI: The Data Flow Interface for High-Speed Networks,"Lasse Thostrup, TU Darmstadt; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452816,https://github.com/DataManagementLab/DFI-public
2021,"大数据系统,并行与分布式系统","RDMA,内存管理",CoRM: Compactable Remote Memory over RDMA,"Konstantin Taranov, ETH Zurich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452817,https://github.com/spcl/CoRM
2021,数据库系统,"内存管理,在线分析,非易失性内存","Maximizing Persistent Memory Bandwidth
Utilization for OLAP Workloads","Björn Daase, Hasso Plattner Institute, University of Potsdam,; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457292,https://github.com/hpides/pmem-olap
2021,大数据系统,"键值存储,LSM-tree,RDMA","Nova-LSM: A Distributed, Component-based LSM-tree
Key-value Store","Haoyu Huang, University of Southern California; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457297,https://github.com/HaoyuHuang/NovaLSM
2021,大数据系统,自然语言处理,"Synthesizing Natural Language to Visualization (NL2VIS)
Benchmarks from NL2SQL Benchmarks","Yuyu Luo, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457261,https://github.com/TsinghuaDatabaseGroup/nvBench
2021,大数据系统,数据分析,"DataPrep.EDA: Task-Centric Exploratory Data Analysis
for Statistical Modeling in Python","Jinglin Peng, Simon Fraser University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457330,https://github.com/sfu-db/dataprep
2021,"大数据系统,机器学习系统","数据挖掘,数据管理","Rotom: A Meta-Learned Data Augmentation Framework for Entity Matching, Data Cleaning, Text Classification, and Beyond","Zhengjie Miao, Duke University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457258,https://github.com/megagonlabs/rotom
2021,"大数据系统,机器学习系统",数据管理,"Expand your Training Limits!
Generating Training Data for ML-based Data Management","Francesco Ventura, Politecnico di Torino; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457286,https://github.com/agora-ecosystem/data-farm
2021,数据库系统,数据管理,Scalable and Usable Relational Learning With Automatic Language Bias,"Jose Picado, Oregon State University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457275,github.com/OSU-IDEA-Lab/AutoBias.
2021,数据库系统,查询执行,Marrying Top-k with Skyline Queries: Relaxing the Preference Input while Producing Output of Controllable Size,"Kyriakos Mouratidis, Singapore Management University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457299,https://github.com/ghlkm/ordu
2021,数据库系统,"SQL优化,查询优化",Small Selectivities Matter: Lifting the Burden of Empty Samples,"Axel Hertzschuch, Technische Universität Dresden; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452805,https://github.com/axhertz/BetaEstimator
2021,数据库系统,"数据分析,查询优化","The Power of Nested Parallelism in Big Data Processing
– Hitting Three Flies with One Slap -","Gábor E. Gévay, Technische Universität Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457287,https://github.com/anonymous873543/Matryoshka-anonymized
2021,数据库系统,查询优化,One WITH RECURSIVE is Worth Many GOTOs,"Denis Hirn, Universität Tübingen; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457272,https://github.com/One-WITH-RECURSIVE-is-Worth-Many-GOTOs
2021,数据库系统,"SQL优化,查询执行",Worst-Case Optimal Graph Joins in Almost No Space,"Diego Arroyuelo, Universidad Técnica Federico Santa María & Millennium Institute for Foundational Research on Data; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457256,https://github.com/darroyue/Ring
2021,数据库系统,SQL优化,PGMJoins: Random Join Sampling with Graphical Models,"Ali Mohammadi Shanghooshabad, University of Warwick, Coventry; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457302,https://github.com/shanghoosh1/PGMJoins
2021,"大数据系统,机器学习系统",数据管理,Slice Tuner: A Selective Data Acquisition Framework for Accurate and Fair Machine Learning Models,"Ki Hyun Tae,KAIST; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452792,https://github.com/systemT2021/SliceTuner
2021,"大数据系统,系统安全与隐私",查询执行,Secure Yannakakis: Join-Aggregate Queries over Private Data,"Yilei Wang, Hong Kong University of Science and Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452808,https://github.com/hkustDB/SECYAN
2021,大数据系统,"数据管理,图计算",Fast Parallel Algorithms for Euclidean Minimum Spanning Tree and Hierarchical Spatial Clustering,"Yiqiu Wang,Massachusetts Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457296,https://github.com/wangyiqiu/hdbscan
2021,"数据库系统,并行与分布式系统",数据管理,"Convergence of Array DBMS and Cellular Automata:
A Road Traffic Simulation Case","Ramon Antonio Rodriges Zalipynis, HSE University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3458457,https://github.com/movsim/movsim
2021,"数据库系统,机器学习系统","SQL优化,DNN","Consistent and Flexible Selectivity Estimation for
High-Dimensional Data","Yaoshu Wang, Shenzhen University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452772,https://github.com/yyssl88/SelNet-Estimation
2021,"大数据系统,机器学习系统","数据分析,DNN",Top-K Deep Video Analytics: A Probabilistic Approach,"Ziliang Lai, The Chinese University of Hong Kong; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452786,https://github.com/everest-project/everest
2021,大数据系统,"数据管理,多核","Fast Density-Peaks Clustering: Multicore-based Parallelization
Approach","Daichi Amagata, Osaka University & PRESTO; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452781,https://github.com/amgt-d1/DPC
2021,大数据系统,数据管理,"Public Transport Planning: When Transit Network Connectivity
Meets Commuting Demand","Sheng Wang, New York University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457247,https://github.com/tgbnhy/ct-bus
2021,大数据系统,"图计算,数据挖掘","Fast and Exact Outlier Detection in Metric Spaces: A Proximity
Graph-based Approach","Daichi Amagata, Osaka University & PRESTO; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452782,https://github.com/amgt-d1/DOD
2021,大数据系统,图计算,Point-to-Hyperplane Nearest Neighbor Search Beyond the Unit Hypersphere,"Qiang Huang, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457240,https://github.com/HuangQiang/P2HNNS
2021,大数据系统,图计算,A Generalized Approach for Reducing Expensive Distance Calls for A Broad Class of Proximity Problems,"Jees Augustine, The University of Texas at Arlington; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457303,https://github.com/jeesaugustine/metric-space-proximity-algo/
2021,大数据系统,"流处理,并行",Parallelizing Intra-Window Join on Multicores: An Experimental Study,"Shuhao Zhang, Singapore University of Technology and Design; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452793,https://github.com/intellistream/AllianceDB
2021,大数据系统,"流处理,数据挖掘",Out of Many We are One: Measuring Item Batch with Clock-Sketch,"Peiqing Chen, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452784,https://github.com/Clock-sketch/clock-sketch2020
2021,大数据系统,"流处理,数据挖掘",BurstSketch: Finding Bursts in Data Streams,"Zheng Zhong, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452775,https://github.com/BurstSketch/BurstSketch
