年份,领域大类,关键词（最多3个）,论文标题,作者,论文链接,项目链接
2021,机器学习系统,,How to Design Robust Algorithms using Noisy Comparison Oracle,"Raghavendra Addanki, University of Massachusetts Amherst; et al.",http://vldb.org/pvldb/vol14/p1703-galhotra.pdf,
2021,机器学习系统,"SysforAI,ML训练,ML优化",Doing More with Less: Characterizing Dataset Downsampling for AutoML,"Fatjon Zogaj, ETH Zurich; et al.",http://vldb.org/pvldb/vol14/p2059-zogaj.pdf,https://github.com/ipa-lab/autoML-sampling-public
2021,数据库系统,分布式共识协议,Scaling Replicated State Machines with Compartmentalization,"Michael J Whittaker, UC Berkeley; et al.",http://vldb.org/pvldb/vol14/p2203-whittaker.pdf,https://github.com/mwhittaker/frankenpaxos
2021,数据库系统,"SysforAI,ML训练",Hindsight Logging for Model Training,"Rolando Garcia, UC Berkeley; et al.",http://vldb.org/pvldb/vol14/p682-garcia.pdf,https://github.com/ucbrise/flor
2021,数据库系统,,In-Network Support for Transaction Triaging,"Theo Jepsen, Stanford University; et al.",http://vldb.org/pvldb/vol14/p1626-lerner.pdf,
2021,大数据系统,,"Compact, Tamper-Resistant Archival of Fine-Grained Provenance","Nan  Zheng, University of Pennsylvania; et al.",http://vldb.org/pvldb/vol14/p485-zheng.pdf,
2021,大数据系统,"SysforAI,机器学习",Capturing and querying fine-grained provenance of preprocessing pipelines in data science,"Adriane Chapman, University of Southampton; et al.",http://vldb.org/pvldb/vol14/p507-chapman.pdf,https://github.com/GiuliaSim/DataProvenance
2021,大数据系统,SysforAI,Fine-Grained Lineage for Safer Notebook Interactions,"Stephen Macke, University of Illinois at Urbana-Champaign; et al.",http://vldb.org/pvldb/vol14/p1093-macke.pdf,https://github.com/nbsafety-project
2021,数据库系统,,On the String Matching with k Differences in DNA Databases,"Yangjun Chen, University of Winnipeg; et al.",http://vldb.org/pvldb/vol14/p903-chen.pdf,
2021,数据库系统,数据分析,A four-dimensional Analysis of Partitioned Approximate Filters,"Tobias Schmidt, TUM; et al.",http://vldb.org/pvldb/vol14/p2355-schmidt.pdf,https://github.com/tum-db/partitioned-filters
