年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2022,机器学习系统,"图计算,GPU",Efficient and Scalable Graph Pattern Mining on GPUs,"Xuhao Chen and Arvind,MIT CSAIL",https://www.usenix.org/conference/osdi22/presentation/chen,https://github.com/chenxuhao/GraphMiner
2021,机器学习系统,,GNNAdvisor: An Adaptive and Efficient Runtime System for GNN Acceleration on GPUs,"Yuke Wang, University of California, Santa Barbara; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-yuke,https://github.com/YukeWang96/OSDI21_AE.git
2021,机器学习系统,,Oort: Efficient Federated Learning via Guided Participant Selection,"Fan Lai, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/lai,https://github.com/SymbioticLab/Kuiper
2021,机器学习系统,,PET: Optimizing Tensor Programs with Partially Equivalent Transformations and Automated Corrections,"Haojie Wang, Tsinghua University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang,https://github.com/whjthu/pet-osdi21-ae
2021,机器学习系统,,Pollux: Co-adaptive Cluster Scheduling for Goodput-Optimized Deep Learning,"Aurick Qiao, Petuum, Inc. and Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi21/presentation/qiao,https://github.com/aurickq/pollux-artifact
2021,软件测试,,DMon: Efficient Detection and Correction of Data Locality Problems using Selective Profiling,"Tanvir Ahmed Khan, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/khan,https://github.com/efeslab/DMon-AE
2021,数据库系统,"AIforSys,并发控制,数据库事务",Polyjuice: High-Performance Transactions via Learned Concurrency Control,"Jiachen Wang, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-jiachen,https://ipads.se.sjtu.edu.cn/ae/README_polyjuice.html
2021,数据库系统,"数据库事务,数据库分析,HTAP",Retrofitting High Availability Mechanism to Tame Hybrid Transaction/Analytical Processing,"Sijie Shen, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/shen,https://ipads.se.sjtu.edu.cn:1312/opensource/vegito
2021,机器学习系统,"ML训练,图神经网络",Marius: Learning Massive Graph Embeddings on a Single Machine,"Jason Mohoney, University of Wisconsin–Madison; et al.",https://www.usenix.org/conference/osdi21/presentation/mohoney,https://github.com/marius-team/marius/tree/osdi2021
2021,数据中心系统,"Serverless,SysforAI,机器学习","Dorylus: Affordable, Scalable, and Accurate GNN Training with Distributed CPU Servers and Serverless Threads","John Thorpe, UCLA; et al.",https://www.usenix.org/conference/osdi21/presentation/thorpe,https://github.com/uclasystem/dorylus
2021,网络系统,"Web,程序优化,并发控制",Horcrux: Automatic JavaScript Parallelism for Resource-Efficient Web Computation,"Shaghayegh Mardani, UCLA; et al.",https://www.usenix.org/conference/osdi21/presentation/mardani,https://github.com/ShaghayeghMrdn/horcrux-osdi21#horcrux
2021,网络系统,"数据中心网络,时延优化,硬件卸载",The nanoPU: A Nanosecond Network Stack for Datacenters,"Stephen Ibanez, Stanford University; et al.",https://www.usenix.org/conference/osdi21/presentation/ibanez,https://github.com/l-nic/chipyard/tree/nanoPU-artifact-v1.0
2021,文件和存储系统,"NVRAM,NUMA,索引结构",Nap: A Black-Box Approach to NUMA-Aware Persistent Memory Indexes,"Qing Wang, Tsinghua University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-qing,https://github.com/thustorage/osdi21ae
2021,文件和存储系统,"软硬件协同,中断策略",Optimizing storage performance with calibrated interrupts,"Amy Tai, VMware Research; et al.",https://www.usenix.org/conference/osdi21/presentation/tai,https://github.com/amytai/cinterrupts-osdi
2021,文件和存储系统,"时延优化,软件栈架构",Rearchitecting Linux Storage Stack for µs latency and High Throughput,"Jaehyun Hwang, Cornell University; et al.",https://www.usenix.org/conference/osdi21/presentation/hwang,https://github.com/resource-disaggregation/blk-switch
