年份,领域大类,tag,论文标题,作者,论文链接,项目链接
2021,机器学习系统,,Deep Learning for Blocking in Entity Matching: A Design Space Exploration,"Saravanan Thirumuruganathan, QCRI; et al.",http://vldb.org/pvldb/vol14/p2459-thirumuruganathan.pdf,https://github.com/saravanan-thirumuruganathan/DeepBlocker
2021,机器学习系统,,Dual-Objective Fine-Tuning of BERT for Entity Matching,"Ralph Peeters, University of Mannheim; et al.",http://vldb.org/pvldb/vol14/p1913-peeters.pdf,https://github.com/wbsg-uni-mannheim/jointbert
2021,机器学习系统,,Accelerating Large Scale Real-Time GNN Inference using Channel Pruning,"hongkuan zhou, University of Southern California; et al.",http://vldb.org/pvldb/vol14/p1597-zhou.pdf,https://github.com/tedzhouhk/GCNP
2021,机器学习系统,,Large Graph Convolutional Network Training with GPU-Oriented Data Communication Architecture,"Seung Won Min, University of Illinois at Urbana-Champaign; et al.",http://vldb.org/pvldb/vol14/p2087-min.pdf,https://github.com/K-Wu/pytorch-direct_dgl
2021,数据库系统,,CoroBase: Coroutine-Oriented Main-Memory Database Engine,"Yongjun He, Simon Fraser University; et al.",http://vldb.org/pvldb/vol14/p431-he.pdf,https://github.com/sfu-dis/corobase/tree/v1.0
2021,数据库系统,,Constructing and Analyzing the LSM Compaction Design Space,"Subhadeep Sarkar, Boston University; et al.",http://vldb.org/pvldb/vol14/p2216-sarkar.pdf,https://disc.bu.edu/lsm-compaction
2021,机器学习系统,,FREDE: Anytime Graph Embeddings,"Anton Tsitsulin, University of Bonn; et al.",http://vldb.org/pvldb/vol14/p1102-mottin.pdf,https://github.com/xgfs/frede
2021,机器学习系统,,TURL: Table Understanding through Representation Learning,"Xiang Deng, The Ohio State University; et al.",http://vldb.org/pvldb/vol14/p307-deng.pdf,https://github.com/sunlab-osu/TURL
2021,并行与分布式系统,,ByShard: Sharding in a Byzantine Environment,"Jelle Hellings, University of California Davis; et al.",http://vldb.org/pvldb/vol14/p2230-hellings.pdf,https://www.jhellings.nl/projects/byshard
2021,系统安全与隐私,,CALYPSO: Private Data Management for Decentralized Ledgers,"Eleftherios Kokoris Kogias, IST Austria; et al.",http://vldb.org/pvldb/vol14/p586-kogias.pdf,https://github.com/calypso-demo
