年份,领域大类,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2021,大数据系统,,Graph Data Management,Incrementalizing Graph Algorithms,"Wenfei Fan, University of Edinburgh & Shenzhen Institute of Computing Sciences; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452796,Dynamic-Graph-Algorithms,https://github.com/yogesh1q2w/Dynamic-Graph-Algorithms
2021,大数据系统,,Graph Data Management,Cache-Efficient Fork-Processing Patterns on Large Graphs,"Shengliang Lu, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457253,ForkGraph,https://github.com/Xtra-Computing/ForkGraph
2021,大数据系统,,Graph Data Management,"LightNE: A Lightweight Graph Processing System for Network
Embedding","Jiezhong Qiu, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457329,LightNE,https://github.com/xptree/LightNE
2021,大数据系统,,Graph Data Management,Hybrid Edge Partitioner,"Ruben Mayer, Technical University of Munich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457300,hybrid_edge_partitioner,https://github.com/mayerrn/hybrid_edge_partitioner
2021,大数据系统,,High Performance Systems,Klink: Progress-Aware Scheduling for Streaming Data Systems,"Omar Farhat, University of Waterloo; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452794,klink,https://github.com/klink-scheduler/klink
2021,大数据系统,,High Performance Systems,"To Partition, or Not to Partition,
That is the Join Question in a Real System","Maximilian Bandle, Technische Universität München; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452831,pcm,https://github.com/opcm/pcm
2021,大数据系统,,High Performance Systems,MxTasks: How to Make Efficient Synchronization and Prefetching Easy,"Jan Mühlig, TU Dortmund University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457268,mxtasking,https://github.com/jmuehlig/mxtasking
2021,大数据系统,,High Performance Systems,DFI: The Data Flow Interface for High-Speed Networks,"Lasse Thostrup, TU Darmstadt; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452816,DFI-public,https://github.com/DataManagementLab/DFI-public
2021,大数据系统,,High Performance Systems,CoRM: Compactable Remote Memory over RDMA,"Konstantin Taranov, ETH Zurich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452817,CoRM,https://github.com/spcl/CoRM
2021,大数据系统,,High Performance Systems,"Maximizing Persistent Memory Bandwidth
Utilization for OLAP Workloads","Björn Daase, Hasso Plattner Institute, University of Potsdam,; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457292,pmem-olap,https://github.com/hpides/pmem-olap
